asiakas1;Lainhuutotodistus;1;1.4.2023
asiakas1;Vuokraoikeustodistus oikeaksi todistettava;8;1.4.2023
asiakas1;Rasitustodistus;1;4.4.2023
asiakas2;Rasitustodistus oikeaksi todistettava;2;2.4.2023
asiakas2;Lainhuutotodistus oikeaksi todistettava;1;7.4.2023
asiakas2;Vuokraoikeustodistus;1;7.4.2023
asiakas3;Vuokraoikeustodistus;5;2.4.2023
asiakas3;Vuokraoikeustodistus oikeaksi todistettava;7;7.4.2023
asiakas4;Rasitustodistus;7;7.4.2023
asiakas4;Rasitustodistus oikeaksi todistettava;3;8.4.2023
asiakas1;Vuokraoikeustodistus;1;4.4.2023
